,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
A0A0J9WZA6,0.4202722411278561,0.5952843947496353,0.5430238210986874,0.6621293145357317,0.7185221195916383,0.5921244530870199,0.3349538162372387,0.426592124453087,0.3986387943607195,0.4496840058337384,0.4795819154107924,0.7309188138065144,0.5262518230432669,0.7156052503646086,0.660427807486631,0.6176470588235294,0.5875060768108896,0.7321341759844433,0.6604278074866311,0.6553232863393291,0.757656781720953,0.5855614973262032,0.5809431210500728,0.605736509479825,0.6050072921730676,0.7029654837141468,0.5780262518230432,0.6584832280019446,0.684005833738454,0.7588721438988819,0.6392805055906661,0.6443850267379678,0.6443850267379678
A0A1I9GEN8,0.6844059405940595,0.3641989198919892,0.28268451845184517,0.4592146714671468,0.31632538253825376,0.39047029702970293,0.5042754275427543,0.4796354635463546,0.3706120612061206,0.3296017101710171,0.24915616561656165,0.2826282628262826,0.3618361836183619,0.4053217821782178,0.4052092709270927,0.35778577857785776,0.5083820882088208,0.27340234023402343,0.3771939693969397,0.32712646264626466,0.38270702070207024,0.3991336633663366,0.42006075607560756,0.4684405940594059,0.36684293429342935,0.4236611161116113,0.5114761476147615,0.5629500450045004,0.4126912691269127,0.4592146714671467,0.48829882988298834,0.4425067506750675,0.5346534653465347
B8GZM2,0.5895977245022348,0.7259244209670865,0.7062169849654613,0.6332791548151158,0.6435392117025599,0.6258634701340918,0.6322633075985372,0.6573547338480292,0.6928078017066233,0.7174928890694839,0.6956521739130435,0.7160707029662738,0.6863063795205201,0.6487200325071111,0.7309020723283218,0.6774685087362861,0.6533929297033726,0.688642828118651,0.6950426655830962,0.685696871190573,0.616822429906542,0.5788297440065013,0.622815928484356,0.6583705810646079,0.5972165786265746,0.6051401869158879,0.6614181227143437,0.6034132466477042,0.6009752133279155,0.5594270621698497,0.5053839902478667,0.6229175132060139,0.5365704997968306
E8ME30,0.7628205128205128,0.8730769230769231,0.8506410256410255,0.6897435897435897,0.5064102564102564,0.7717948717948718,0.805128205128205,0.8730769230769231,0.8544871794871794,0.898076923076923,0.907051282051282,0.9326923076923077,0.9262820512820513,0.9019230769230768,0.9076923076923077,0.9153846153846154,0.9391025641025641,0.9384615384615385,0.8448717948717949,0.958974358974359,0.8262820512820512,0.8903846153846153,0.9064102564102564,0.798076923076923,0.725,0.8301282051282052,0.8025641025641026,0.8070512820512821,0.7903846153846155,0.7743589743589743,0.8980769230769231,0.9141025641025641,0.9352564102564103
O14757,0.6630546955624355,0.5690144478844169,0.7585139318885449,0.6442208462332302,0.7916666666666667,0.6737616099071208,0.7921826625386996,0.78328173374613,0.7997936016511867,0.7649638802889578,0.8201754385964912,0.7817337461300309,0.7441950464396285,0.7478070175438596,0.7080753353973168,0.7863777089783281,0.7371001031991743,0.7720588235294117,0.8037925696594428,0.7080753353973168,0.7269091847265222,0.684984520123839,0.8050825593395253,0.8517801857585139,0.8037925696594427,0.8539731682146543,0.7968266253869969,0.7405830753353974,0.8619711042311662,0.6102941176470589,0.8125644994840042,0.8101135190918473,0.7512899896800826
O14965,0.38820164937483376,0.5326549614259111,0.6561585528065975,0.5957701516360734,0.636073423782921,0.5971667996807661,0.6642059058260176,0.713953179036978,0.7342378292098962,0.7854482575152966,0.6843575418994413,0.6312184091513701,0.6106677307794627,0.6030859271082735,0.6454509177972865,0.6660681032189412,0.6822958233572759,0.6877494014365523,0.6796355413673849,0.6783719074221868,0.6981910082468742,0.6888800212822559,0.684291034849694,0.6713221601489758,0.6499733971801012,0.6514365522745411,0.6965948390529396,0.6899441340782122,0.6688613993083268,0.6926044160681032,0.7571162543229581,0.6620776802341048,0.7019154030327215
O31611,0.5693027210884354,0.6232993197278912,0.514030612244898,0.5017006802721089,0.46896258503401356,0.49744897959183676,0.6560374149659864,0.5046768707482994,0.3949829931972789,0.3469387755102041,0.2835884353741497,0.2891156462585034,0.3133503401360544,0.3129251700680272,0.34778911564625853,0.29931972789115646,0.37329931972789115,0.2189625850340136,0.2755102040816327,0.3869047619047619,0.3354591836734694,0.4285714285714286,0.34098639455782315,0.4281462585034014,0.43920068027210885,0.6352040816326531,0.4034863945578231,0.48809523809523814,0.4812925170068027,0.4574829931972789,0.5663265306122449,0.6292517006802721,0.5625
O43353,0.8297830374753452,0.7702169625246549,0.8090729783037476,0.8240631163708085,0.7439842209072979,0.7372781065088757,0.8087442472057856,0.8398422090729785,0.8480604865220249,0.882577251808021,0.826758711374096,0.8359631821170284,0.8381985535831691,0.8827744904667982,0.836094674556213,0.8502301117685733,0.8274161735700197,0.7981591058514135,0.8174884944115713,0.839250493096647,0.8515450361604208,0.8613412228796844,0.8712031558185405,0.8785667324128863,0.8581196581196582,0.7915187376725838,0.8458251150558843,0.7999342537804076,0.8416831032215648,0.8619986850756081,0.8645627876397107,0.842274819197896,0.8853385930309008
O54438,0.7072649572649573,0.7055555555555556,0.6427350427350427,0.5688034188034188,0.4098290598290598,0.6846153846153846,0.6410256410256411,0.6367521367521367,0.7222222222222222,0.7461538461538462,0.7021367521367521,0.8166666666666667,0.8675213675213675,0.8884615384615384,0.8568376068376068,0.7401709401709402,0.8282051282051281,0.8495726495726497,0.7418803418803419,0.7982905982905983,0.7363247863247864,0.7316239316239317,0.843162393162393,0.7000000000000001,0.7277777777777779,0.7542735042735043,0.7910256410256411,0.8730769230769231,0.885897435897436,0.7982905982905983,0.7918803418803418,0.8944444444444444,0.8324786324786324
O57693,0.5515873015873016,0.22325741890959283,0.3305728088336784,0.3947550034506556,0.3181504485852312,0.363871635610766,0.3564527260179434,0.4252933057280883,0.2751897860593513,0.19306418219461696,0.2489648033126294,0.20376121463077984,0.1959972394755003,0.2577639751552795,0.2374051069703244,0.21773636991028295,0.24844720496894412,0.2412008281573499,0.19806763285024154,0.16873706004140784,0.2907177363699103,0.2782953761214631,0.24792960662525879,0.22567287784679088,0.33247066942719117,0.28174603174603174,0.6036922015182884,0.291407867494824,0.30883367839889575,0.34955141476880613,0.48740510697032435,0.510351966873706,0.2812284334023465
